Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,2529,2584.2,2516.2,2520,2551,2555,2555.88,3743.9,2025,1641135,4194542096,64469
15-May-25,EQ,2463.4,2526.8,2450.7,2461.9,2519,2520,2499.39,3743.9,2025,1554801,3886046497,106591
14-May-25,EQ,2444.9,2481.9,2430.1,2441.2,2463,2461.9,2464.92,3743.9,2025,774441,1908934668,46754
13-May-25,EQ,2425,2454.9,2405,2425.3,2438.2,2441.2,2430.56,3743.9,2025,1815179,4411903805,88886
12-May-25,EQ,2350,2433.3,2315,2251,2425,2425.3,2404.1,3743.9,2025,2147039,5161686867,89860
09-May-25,EQ,2240,2273.1,2233,2285.3,2255,2251,2247.36,3743.9,2025,1006000,2260839448,54744
08-May-25,EQ,2362,2367.8,2260,2353.1,2270,2285.3,2316.22,3743.9,2025,1380069,3196541647,77928
07-May-25,EQ,2315,2379.5,2315,2354,2349,2353.1,2352.03,3743.9,2025,1012640,2381761493,72371
06-May-25,EQ,2454,2463.2,2343.5,2455.5,2350,2354,2393.88,3743.9,2025,1524692,3649927549,76489
05-May-25,EQ,2312.6,2497,2297.8,2294.2,2465,2455.5,2437.24,3743.9,2025,4227194,10302695962,183049
02-May-25,EQ,2349.9,2372.4,2289.4,2301.3,2290,2294.2,2324.92,3743.9,2025,1958739,4553908749,97216
30-Apr-25,EQ,2331.4,2340,2285,2330.6,2290,2301.3,2313.67,3743.9,2025,837464,1937617333,52676
29-Apr-25,EQ,2392,2400,2325.6,2369.8,2330.5,2330.6,2353.79,3743.9,2025,670730,1578759462,43294
28-Apr-25,EQ,2346,2402,2337.6,2354.3,2369.1,2369.8,2373.3,3743.9,2025,681421,1617215137,48214
25-Apr-25,EQ,2450.1,2459.5,2323.5,2442.5,2346,2354.3,2362.6,3743.9,2025,1414809,3342634532,82782
