Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,2333.9,2355,2315,2329.9,2353,2353.6,2340.13,3394.9,2124.75,785113,1837268694,54809
15-May-25,EQ,2285,2335.5,2268,2282.3,2331.4,2329.9,2306.6,3394.9,2124.75,1675016,3863590864,113120
14-May-25,EQ,2319,2319,2277.1,2324.6,2286,2282.3,2288,3394.9,2124.75,1549845,3546048010,116059
13-May-25,EQ,2354,2358,2315.1,2356.4,2322.6,2324.6,2328.8,3394.9,2124.75,1220489,2842270299,81010
12-May-25,EQ,2330,2378.5,2321,2299.6,2339.3,2356.4,2358.02,3394.9,2124.75,940135,2216852601,47346
09-May-25,EQ,2246.6,2331.8,2245,2302.6,2307.9,2299.6,2300.34,3394.9,2124.75,1503010,3457441373,92881
08-May-25,EQ,2322,2349.1,2293.5,2334.1,2300,2302.6,2318.8,3394.9,2124.75,2292261,5315292783,135625
07-May-25,EQ,2388,2405.7,2318.5,2418,2322,2334.1,2361.98,3394.9,2124.75,1711760,4043139077,109336
06-May-25,EQ,2442,2449.9,2391.1,2436.9,2414.4,2418,2413.16,3394.9,2124.75,702819,1696015229,43489
05-May-25,EQ,2423.1,2475,2423.1,2409.8,2441,2436.9,2454.15,3394.9,2124.75,1229593,3017608686,70327
02-May-25,EQ,2425,2444.9,2398,2425.7,2406,2409.8,2421.26,3394.9,2124.75,928084,2247136439,58084
30-Apr-25,EQ,2450,2462.2,2401.5,2451.1,2416.5,2425.7,2432.24,3394.9,2124.75,1479678,3598936957,77845
29-Apr-25,EQ,2460,2472,2441.6,2452.2,2456.1,2451.1,2456.45,3394.9,2124.75,1235066,3033872118,63588
28-Apr-25,EQ,2419.9,2459.8,2405,2431.6,2446.2,2452.2,2440.86,3394.9,2124.75,554922,1354485971,52292
25-Apr-25,EQ,2464.3,2468.7,2413.7,2464.4,2425.7,2431.6,2432.8,3394.9,2124.75,702217,1708355788,60107
24-Apr-25,EQ,2450,2491,2435.9,2453.1,2466.4,2464.4,2465.69,3394.9,2124.75,1203452,2967336184,77050
23-Apr-25,EQ,2437,2456.6,2425.6,2432,2447.5,2453.1,2443.84,3394.9,2124.75,744696,1819920596,53899
22-Apr-25,EQ,2445,2450,2413.5,2445,2428,2432,2434.93,3394.9,2124.75,543658,1323769902,52528
21-Apr-25,EQ,2465.9,2470.9,2441,2467.9,2444.8,2445,2455.74,3394.9,2124.75,541913,1330797650,43480
17-Apr-25,EQ,2459.9,2476.4,2431,2459.9,2465,2467.9,2462.16,3394.9,2124.75,885842,2181085537,76147
16-Apr-25,EQ,2405.1,2468.5,2403.7,2415.7,2456,2459.9,2451.03,3394.9,2124.75,1166700,2859611269,63155
15-Apr-25,EQ,2414.9,2425,2385,2393.6,2419,2415.7,2409.09,3394.9,2124.75,1141279,2749444085,60826
11-Apr-25,EQ,2439.5,2448,2380.25,2411.15,2393,2393.6,2396.76,3394.9,2124.75,968152,2320426188,67208
09-Apr-25,EQ,2400,2429.45,2390.9,2394.2,2409.15,2411.15,2415.28,3394.9,2124.75,1186947,2866811898,81370
08-Apr-25,EQ,2356,2420,2356,2341.35,2394.2,2394.2,2395.31,3394.9,2124.75,1876867,4495681154,115340
07-Apr-25,EQ,2190,2354,2190,2356.05,2344,2341.35,2329.16,3394.9,2124.75,1745827,4066309645,139328
04-Apr-25,EQ,2349.4,2363.95,2302.8,2349.4,2352.5,2356.05,2337.2,3394.9,2124.75,1163188,2718599397,59655
03-Apr-25,EQ,2295,2354.9,2289.8,2306.65,2347.7,2349.4,2339.57,3394.9,2124.75,608846,1424439299,46641
02-Apr-25,EQ,2328,2328.4,2292.15,2316,2308.95,2306.65,2303.78,3394.9,2124.75,792695,1826196170,37627
01-Apr-25,EQ,2342,2361.7,2305.75,2340.65,2316.7,2316,2326.81,3394.9,2124.75,970583,2258365028,60637
28-Mar-25,EQ,2343.95,2364,2325,2338.1,2326.25,2340.65,2343.47,3394.9,2124.75,1281871,3004027399,67780
27-Mar-25,EQ,2315,2350.1,2290.5,2323.15,2340,2338.1,2330.53,3394.9,2124.75,1497869,3490826200,80747
26-Mar-25,EQ,2340,2340.95,2304,2330.75,2315,2323.15,2319.07,3394.9,2124.75,1934492,4486225170,91980
25-Mar-25,EQ,2325,2344.5,2308,2322.5,2324,2330.75,2325.8,3394.9,2124.75,1828005,4251579024,89092
24-Mar-25,EQ,2302.4,2330.25,2302.1,2300.4,2318.5,2322.5,2315.43,3394.9,2124.75,1100353,2547788335,58769
21-Mar-25,EQ,2291.65,2314.5,2277.85,2287.2,2301.1,2300.4,2302.23,3394.9,2124.75,1624115,3739093017,72528
20-Mar-25,EQ,2290,2307,2268.75,2280.7,2282.8,2287.2,2289.27,3394.9,2124.75,1166849,2671231104,66693
19-Mar-25,EQ,2274,2287.95,2267.85,2273.95,2281,2280.7,2279.37,3394.9,2124.75,663342,1512003147,37919
18-Mar-25,EQ,2230.65,2290,2222.75,2219.55,2275,2273.95,2262.07,3394.9,2124.75,816364,1846673569,59044
17-Mar-25,EQ,2205,2239.25,2196.05,2231.3,2222,2219.55,2211.29,3394.9,2124.75,838016,1853094353,46143
13-Mar-25,EQ,2255.25,2257.2,2222.5,2251.3,2228,2231.3,2239.46,3394.9,2124.75,747500,1673995005,56228
12-Mar-25,EQ,2287.4,2295.95,2247,2287.4,2250,2251.3,2261.49,3394.9,2124.75,749232,1694379970,43263
11-Mar-25,EQ,2274,2290.9,2257.9,2278.6,2286,2287.4,2281.69,3394.9,2124.75,601228,1371817056,45071
10-Mar-25,EQ,2270,2293,2261.85,2270,2273.6,2278.6,2281.33,3394.9,2124.75,1072395,2446483759,67199
07-Mar-25,EQ,2267.7,2277.95,2248,2267.7,2262.1,2270,2264.87,3394.9,2124.75,921429,2086915605,53822
06-Mar-25,EQ,2189.85,2275,2183.1,2164.15,2267,2267.7,2245.27,3394.9,2124.75,1985096,4457070034,129082
05-Mar-25,EQ,2132,2182.8,2124.75,2132.1,2168.4,2164.15,2158.03,3394.9,2124.75,1535212,3313036252,82283
04-Mar-25,EQ,2154.05,2159.85,2124.75,2166.4,2128,2132.1,2140.96,3394.9,2124.75,2181015,4669465647,100470
03-Mar-25,EQ,2179.75,2193.35,2129,2179.75,2180.4,2166.4,2155.65,3394.9,2129,959075,2067430347,74350
28-Feb-25,EQ,2210,2211.35,2175.8,2213.65,2181.2,2179.75,2186.11,3394.9,2175.8,1701193,3719003065,99936
27-Feb-25,EQ,2214,2228.4,2198,2224.75,2211.05,2213.65,2212.79,3394.9,2185.7,1027196,2272965794,95543
25-Feb-25,EQ,2246.2,2257.1,2217.7,2246.2,2218.1,2224.75,2239.74,3394.9,2185.7,947724,2122652415,75396
24-Feb-25,EQ,2245.9,2259,2241,2257.6,2243.9,2246.2,2249.63,3394.9,2185.7,765060,1721098414,73952
21-Feb-25,EQ,2249.05,2265.8,2237,2249.05,2254,2257.6,2250.9,3394.9,2185.7,755633,1700851811,45219
20-Feb-25,EQ,2239.1,2257.1,2231.05,2239.1,2247.9,2249.05,2248.55,3394.9,2185.7,637444,1433327263,51610
19-Feb-25,EQ,2237.6,2249.8,2226.1,2237.6,2239.7,2239.1,2238.83,3394.9,2185.7,645236,1444575843,55477
18-Feb-25,EQ,2248,2251.95,2218.75,2250.85,2232.65,2237.6,2232.03,3394.9,2185.7,735853,1642444694,64195
17-Feb-25,EQ,2231.3,2260,2226.05,2231.3,2249.5,2250.85,2247.92,3394.9,2185.7,923979,2077033206,59539
14-Feb-25,EQ,2236.4,2250.55,2203,2236.4,2224.95,2231.3,2223.47,3394.9,2185.7,1380052,3068508976,96135
13-Feb-25,EQ,2228.25,2249.95,2220,2228.25,2232,2236.4,2236.75,3394.9,2185.7,921923,2062108958,85854
12-Feb-25,EQ,2241.85,2247.95,2185.7,2240.85,2228,2228.25,2216.58,3394.9,2185.7,1181718,2619371809,100126
11-Feb-25,EQ,2279,2282.9,2226,2270.15,2238,2240.85,2245.54,3394.9,2207.8,1607952,3610719513,109879
10-Feb-25,EQ,2271.05,2278,2254,2271,2270,2270.15,2267.1,3394.9,2207.8,1181565,2678729501,84314
07-Feb-25,EQ,2266,2276.3,2243.2,2263.4,2273.8,2271,2260.34,3394.9,2207.8,1336756,3021527894,82789
06-Feb-25,EQ,2287.2,2298.9,2260.25,2275.2,2266,2263.4,2274.53,3394.9,2207.8,1285982,2925006808,87116
05-Feb-25,EQ,2269,2295.55,2237.25,2354.35,2274.2,2275.2,2267.8,3394.9,2207.8,3474657,7879837292,166103
04-Feb-25,EQ,2304.65,2418.6,2263.75,2292.25,2350,2354.35,2344.96,3394.9,2207.8,5373740,12601180854,255010
03-Feb-25,EQ,2351.15,2364.45,2277.7,2351.15,2291.15,2292.25,2309.88,3394.9,2207.8,1070392,2472481933,91492
01-Feb-25,EQ,2312,2389,2285.3,2300.8,2351.85,2351.15,2346.09,3394.9,2207.8,1318652,3093674163,70668
31-Jan-25,EQ,2255,2305,2234.85,2249.85,2305,2300.8,2280.31,3394.9,2207.8,1292925,2948269209,77356
30-Jan-25,EQ,2223.15,2259.25,2215,2223.15,2255,2249.85,2243.61,3394.9,2207.8,1155749,2593055631,64226
29-Jan-25,EQ,2241.8,2246.8,2212.05,2241.8,2223.7,2223.15,2225.07,3394.9,2207.8,1281122,2850587861,75757
28-Jan-25,EQ,2260,2267.05,2234.1,2251.5,2239,2241.8,2251.73,3394.9,2207.8,897503,2020930748,72849
27-Jan-25,EQ,2255.3,2277.75,2246.2,2262.4,2249.5,2251.5,2262.6,3394.9,2207.8,1097947,2484215160,76944
24-Jan-25,EQ,2283,2296.55,2255.05,2276.35,2263.5,2262.4,2273.84,3394.9,2207.8,543217,1235187855,49773
23-Jan-25,EQ,2262.1,2301.8,2246.2,2262.1,2278.4,2276.35,2280.93,3394.9,2207.8,1142498,2605952417,74388
22-Jan-25,EQ,2270,2270,2244.9,2260.35,2260.05,2262.1,2257.34,3394.9,2207.8,835523,1886055485,64392
21-Jan-25,EQ,2280.55,2315,2255,2280.55,2262.8,2260.35,2284.09,3394.9,2207.8,1410331,3221318200,98781
20-Jan-25,EQ,2272.25,2286.9,2251,2261,2279.15,2280.55,2275.35,3394.9,2207.8,555730,1264478025,56946
17-Jan-25,EQ,2225.65,2269.05,2212.5,2215.6,2257.55,2261,2250.06,3394.9,2207.8,878871,1977515477,59699
16-Jan-25,EQ,2239,2239.85,2207.8,2229.7,2219,2215.6,2217.13,3394.9,2207.8,1936132,4292658861,106569
15-Jan-25,EQ,2249,2253.75,2220,2239.95,2230,2229.7,2228.39,3394.9,2220,1308999,2916962124,94121
14-Jan-25,EQ,2269,2286.35,2237,2252.65,2240,2239.95,2251.85,3394.9,2237,1317678,2967215704,87016
13-Jan-25,EQ,2291.75,2301.9,2246.4,2320.75,2250.7,2252.65,2272.11,3394.9,2246.4,1181928,2685467190,96556
10-Jan-25,EQ,2335.6,2348.9,2316,2350.2,2318,2320.75,2329.11,3394.9,2256.5,1214382,2828428868,61912
09-Jan-25,EQ,2341.9,2361.4,2321.3,2334.35,2352,2350.2,2347.44,3394.9,2256.5,1362314,3197947715,109001
08-Jan-25,EQ,2287.05,2338,2272.7,2292.6,2336.5,2334.35,2308.37,3394.9,2256.5,1439655,3323261023,80037
07-Jan-25,EQ,2272,2316,2272,2267.15,2292,2292.6,2296.01,3394.9,2256.5,740798,1700879586,60009
06-Jan-25,EQ,2335.95,2340,2256.7,2335.95,2270,2267.15,2282.63,3394.9,2256.5,1191044,2718712346,104012
03-Jan-25,EQ,2344,2348.95,2322.15,2343.25,2333.8,2335.95,2337.6,3411.8,2256.5,1355358,3168278876,89891
02-Jan-25,EQ,2314,2347.95,2294,2304.65,2338,2343.25,2327.49,3411.8,2256.5,1342922,3125638366,84907
01-Jan-25,EQ,2280,2323.2,2280,2281.35,2304.8,2304.65,2310.17,3411.8,2256.5,1067329,2465706808,67605
31-Dec-24,EQ,2280,2297.65,2273,2288.25,2284.2,2281.35,2284.3,3411.8,2256.5,685486,1565857129,55912
30-Dec-24,EQ,2280.25,2298.8,2256.8,2271.4,2272.5,2288.25,2277.52,3411.8,2256.5,1076978,2452839311,66326
