Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,8350,8495,8280,8326,8491,8482.5,8413.65,12774,7089.35,483122,4064819657,54407
15-May-25,EQ,8135,8366,8077,8102.5,8335,8326,8241.18,12774,7089.35,497959,4103768628,85429
14-May-25,EQ,8090,8208,8032,8063,8095.5,8102.5,8116.62,12774,7089.35,225717,1832059579,35513
13-May-25,EQ,8039.5,8109,7950,8039.5,8066.5,8063,8028.45,12774,7089.35,407395,3270750991,57904
12-May-25,EQ,7800,8048.5,7778,7682.5,8047,8039.5,7966.31,12774,7089.35,296774,2364193873,40508
09-May-25,EQ,7620,7743.5,7612,7724.5,7711.5,7682.5,7678.94,12774,7089.35,248982,1911917845,47790
08-May-25,EQ,7850.5,7869.5,7670,7849,7670.5,7724.5,7761.57,12774,7089.35,461725,3583710008,70938
07-May-25,EQ,7915.5,7978,7811.5,7945.5,7845,7849,7881.46,12774,7089.35,459640,3622632470,55124
06-May-25,EQ,7930,8044,7910,7920.5,7926.5,7945.5,7996.4,12774,7089.35,270568,2163568678,39935
05-May-25,EQ,7869.5,7964.5,7850,7836.5,7905,7920.5,7905.66,12774,7089.35,250175,1977797592,36482
02-May-25,EQ,8000,8086,7803,8030,7809,7836.5,7903.49,12774,7089.35,455898,3603186356,74875
30-Apr-25,EQ,8060,8077.5,7977.5,8078.5,8015,8030,8014.86,12774,7089.35,447067,3583177579,39138
29-Apr-25,EQ,8136.5,8169.5,8020,8096,8088.5,8078.5,8075.88,12774,7089.35,228383,1844393204,31599
28-Apr-25,EQ,8034,8134.5,7971,8034,8097.5,8096,8061.9,12774,7089.35,282481,2277334634,30651
25-Apr-25,EQ,8225,8259.5,7965,8201.5,8010.5,8034,8059.68,12774,7089.35,508224,4096122973,51578
24-Apr-25,EQ,8260,8328,8169,8261.5,8215,8201.5,8239.63,12774,7089.35,322100,2653985823,44141
23-Apr-25,EQ,8111,8294.5,8051,8141,8229,8261.5,8168.07,12774,7089.35,598686,4890108515,59699
22-Apr-25,EQ,8186,8186.5,8075,8247.5,8135,8141,8122.72,12774,7089.35,394636,3205519015,43964
21-Apr-25,EQ,8010,8275,7950,8018,8230,8247.5,8168.65,12774,7089.35,285132,2329143461,45682
17-Apr-25,EQ,7994,8055,7864.5,7961.5,8008,8018,7977.88,12774,7089.35,274331,2188579730,53694
16-Apr-25,EQ,7999,7999.5,7864.5,7995.5,7947,7961.5,7918.17,12774,7089.35,294161,2329216008,41575
15-Apr-25,EQ,8000,8040,7828.5,7768.85,7984.5,7995.5,7982.02,12774,7089.35,387999,3097016579,48741
11-Apr-25,EQ,7719.5,7779.95,7636.35,7572.3,7779,7768.85,7733.03,12774,7089.35,290737,2248277112,43501
09-Apr-25,EQ,7525.45,7631.3,7460.5,7498.05,7576.45,7572.3,7561.23,12774,7089.35,261256,1975416745,40615
08-Apr-25,EQ,7384.5,7529.85,7345.75,7306.8,7519.95,7498.05,7453.65,12774,7089.35,259199,1931977456,43557
07-Apr-25,EQ,7300,7357.55,7089.35,7685.1,7322.05,7306.8,7266.61,12774,7089.35,469629,3412612643,72993
04-Apr-25,EQ,7880,7889.85,7652.25,7912.2,7699.8,7685.1,7714.02,12774,7301,461228,3557922155,44664
03-Apr-25,EQ,7940.05,7940.05,7840,8072.95,7909.75,7912.2,7894.29,12774,7301,470005,3710356493,52563
02-Apr-25,EQ,7962,8083.8,7945,7993.05,8075,8072.95,8022.26,12774,7301,237191,1902808159,33808
01-Apr-25,EQ,7631,8048,7631,7878.85,7975,7993.05,7958.37,12774,7301,283618,2257138042,40125
28-Mar-25,EQ,7970.4,8024.9,7810.75,7974.3,7859.95,7878.85,7918.42,12774,7301,392400,3107189466,51307
27-Mar-25,EQ,7901,8039.1,7852.25,7977.1,7960,7974.3,7975.97,12774,7301,651971,5200098947,70101
26-Mar-25,EQ,8014.35,8047.45,7910,8006,7969,7977.1,7983.09,12774,7301,391366,3124308278,56441
25-Mar-25,EQ,8160,8167.95,7952,8125.55,7990,8006,8017.58,12774,7301,824076,6607094832,79784
24-Mar-25,EQ,8117.8,8213.95,8070,8067.85,8120,8125.55,8144.27,12774,7301,453508,3693489672,47800
21-Mar-25,EQ,7969,8151,7938,7920,8080,8067.85,8069.62,12774,7301,703280,5675204857,52058
20-Mar-25,EQ,7734.95,7951.95,7722,7721.85,7920,7920,7888.88,12774,7301,606109,4781521116,61415
19-Mar-25,EQ,7674,7767.65,7619.25,7613.4,7711.25,7721.85,7711.63,12774,7301,409356,3156800475,43614
18-Mar-25,EQ,7523.4,7642.1,7512.85,7486.05,7625,7613.4,7579.05,12774,7301,354990,2690488375,43762
17-Mar-25,EQ,7500,7611,7433,7504.7,7500,7486.05,7494.36,12774,7301,286388,2146294066,35809
13-Mar-25,EQ,7545.25,7545.25,7415,7515.05,7500.05,7504.7,7470.94,12774,7301,454776,3397606255,56730
12-Mar-25,EQ,7499.95,7569,7429.85,7499.95,7504.4,7515.05,7509.03,12774,7301,529286,3974421847,44311
11-Mar-25,EQ,7355.5,7515.95,7328,7383.4,7509.85,7499.95,7448.2,12774,7301,412703,3073893791,51271
10-Mar-25,EQ,7573,7573,7352,7574.75,7377,7383.4,7446.39,12774,7301,495241,3687759528,53473
07-Mar-25,EQ,7462.25,7624,7451.1,7462.25,7551,7574.75,7576.75,12774,7301,942308,7139629359,85264
06-Mar-25,EQ,7481,7500,7376.95,7420.3,7452,7462.25,7435.7,12774,7301,917093,6819230929,81003
05-Mar-25,EQ,7332.2,7443.3,7301,7333.3,7438.05,7420.3,7375.28,12774,7301,749464,5527505580,105944
04-Mar-25,EQ,7652.1,7680,7317.05,7714.8,7332.95,7333.3,7428.53,12774,7317.05,1078953,8015033966,117095
03-Mar-25,EQ,7934.95,7998.3,7679.6,7902.9,7710,7714.8,7774.24,12774,7679.6,497052,3864203088,71687
28-Feb-25,EQ,8234.75,8234.75,7886.3,8232.35,7915.2,7902.9,8016.31,12774,7886.3,580155,4650700672,79495
27-Feb-25,EQ,8360.1,8413.95,8183.4,8417.9,8195,8232.35,8252.71,12774,7890,350992,2896635879,65501
25-Feb-25,EQ,8450,8468.1,8365.05,8446.95,8420.25,8417.9,8419.86,12774,7890,237383,1998731036,40032
24-Feb-25,EQ,8450.5,8488.45,8341.6,8506.05,8460,8446.95,8418.11,12774,7890,275998,2323381283,52671
21-Feb-25,EQ,8550,8614,8450,8630.2,8504.9,8506.05,8517.94,12774,7890,222132,1892106735,36835
20-Feb-25,EQ,8459.95,8640,8459.9,8479.5,8625.95,8630.2,8593.34,12774,7890,188845,1622808802,35135
19-Feb-25,EQ,8440.05,8527.7,8405.05,8446.6,8473.95,8479.5,8470.95,12774,7890,200819,1701127543,38801
18-Feb-25,EQ,8510.1,8550,8390.45,8537.15,8445.8,8446.6,8441.06,12774,7890,206278,1741205385,32465
17-Feb-25,EQ,8494,8552.05,8382.65,8506.5,8527.55,8537.15,8486.33,12774,7890,224417,1904476221,36286
14-Feb-25,EQ,8700,8722.7,8419.9,8691.35,8464.85,8506.5,8549.36,12774,7766.05,369356,3157758539,61404
13-Feb-25,EQ,8715.05,8777.05,8651.45,8711.6,8665.5,8691.35,8709.59,12774,7766.05,206920,1802187902,53555
12-Feb-25,EQ,8732,8819.4,8647,8762,8701.6,8711.6,8728.26,12774,7766.05,411042,3587681298,51019
11-Feb-25,EQ,8830,8877.45,8732.55,8880.55,8750,8762,8765.85,12774,7766.05,282926,2480086824,40112
10-Feb-25,EQ,8989.4,9069.8,8845.85,8989.4,8879,8880.55,8912.54,12774,7766.05,192650,1717000998,29536
07-Feb-25,EQ,8890.55,9026,8851.05,8846.35,8996,8989.4,8948.17,12774,7633.5,244178,2184945072,36840
06-Feb-25,EQ,8922,8961.65,8811,8927.8,8840,8846.35,8874.21,12774,7633.5,580590,5152277992,54926
05-Feb-25,EQ,8930,8968,8895,8911.4,8922.75,8927.8,8928.96,12774,7633.5,329075,2938296015,42609
04-Feb-25,EQ,8950,9059.65,8877.6,8926.55,8930,8911.4,8960.48,12774,7633.5,440468,3946802980,60046
03-Feb-25,EQ,9150,9150,8886.55,9155.6,8900,8926.55,8973.52,12774,7633.5,667412,5989032121,105913
01-Feb-25,EQ,8887.9,9178,8806.3,8847.8,9155,9155.6,9061.56,12774,7480,418755,3794572110,57137
31-Jan-25,EQ,8800,8959.9,8744.05,8747.8,8876,8847.8,8857.48,12774,7480,315913,2798192705,41806
