Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,351.6,371.15,349.6,350.4,363.8,363.9,362.87,371.15,221,68855818,24985416034,673858
15-May-25,EQ,346.5,351,340.8,344.35,350,350.4,346.74,351,221,35959338,12468471430,259856
14-May-25,EQ,339,346,334.5,335.75,344.5,344.35,341.89,346,221,43684324,14935411263,312261
13-May-25,EQ,323.7,337.75,322.8,322.8,335.9,335.75,334.18,340.5,221,57985762,19377555972,628573
12-May-25,EQ,325,325,316.2,315.85,322.2,322.8,320.63,340.5,221,39927141,12801817274,502870
09-May-25,EQ,305,321.8,305,307.15,316.15,315.85,316.25,340.5,221,44244945,13992522066,443942
08-May-25,EQ,310.5,313.7,304.8,309.95,304.9,307.15,309.63,340.5,221,17110997,5297995118,116453
07-May-25,EQ,305,315.2,305,310.5,310.1,309.95,310.4,340.5,221,19274367,5982720438,126765
06-May-25,EQ,315.65,319.3,309.2,315.3,309.5,310.5,313.42,340.5,221,17029890,5337449948,123408
05-May-25,EQ,313.95,316.9,313.2,311.35,315.65,315.3,315.16,340.5,221,10955763,3452852219,85400
02-May-25,EQ,310.8,317.75,310.6,314.1,311,311.35,313.95,340.5,221,18979609,5958558208,147507
30-Apr-25,EQ,319,320.45,312.6,317.1,312.95,314.1,315.35,340.5,221,24863436,7840713501,208936
29-Apr-25,EQ,306.55,319.45,305.8,305.05,317.15,317.1,315.97,340.5,221,57883471,18289531908,375574
28-Apr-25,EQ,296,307.85,295.85,297.6,305.3,305.05,305.13,340.5,221,29913417,9127348948,185562
25-Apr-25,EQ,306.8,307.8,293.7,305.7,297,297.6,298.57,340.5,221,20307004,6063117614,145183
24-Apr-25,EQ,305,308.6,303.45,305.85,305.45,305.7,305.61,340.5,221,17241517,5269113311,108129
23-Apr-25,EQ,305.6,310.3,301.8,303.35,305.6,305.85,306.09,340.5,221,21918666,6709156902,169771
22-Apr-25,EQ,301,304.75,299.75,299.95,303.5,303.35,303.19,340.5,221,11962358,3626878811,103710
21-Apr-25,EQ,297.5,301.6,295.15,295.15,300.2,299.95,299.62,340.5,221,14064356,4213916215,121862
17-Apr-25,EQ,293,296.6,291.15,293.6,294.55,295.15,294.53,340.5,221,13609937,4008539165,120621
16-Apr-25,EQ,293.5,295.35,291.3,293.7,294.1,293.6,293.25,340.5,221,12479078,3659436169,115326
15-Apr-25,EQ,289.9,294.15,287.55,285,293.6,293.7,292.21,340.5,221,19512440,5701792560,173583
11-Apr-25,EQ,283,287,282.65,280.15,285.3,285,285.23,340.5,221,13883110,3959922286,121027
09-Apr-25,EQ,281,282.8,276.6,281.45,281,280.15,279.8,340.5,221,11389916,3186921680,102082
08-Apr-25,EQ,282.45,288,276.6,272.1,282.15,281.45,281.62,340.5,221,26787606,7544049255,214793
07-Apr-25,EQ,257,274.5,256.2,280,274,272.1,268.89,340.5,221,24954083,6709783111,208401
04-Apr-25,EQ,287.1,288,278.3,287.5,280.5,280,282.03,340.5,203.75,19699594,5555908347,160549
03-Apr-25,EQ,283,288.25,282.6,282.4,287.5,287.5,286,340.5,203.75,20968721,5997106682,179031
02-Apr-25,EQ,289.9,290.75,274.45,292,282.45,282.4,279.81,340.5,203.75,52653587,14732749737,388113
01-Apr-25,EQ,302,305.8,290,301.32,290.9,292,298.17,340.5,203.75,33171384,9890602879,266366
28-Mar-25,EQ,304,306.58,299.07,300.65,301.33,301.32,303.02,340.5,195.95,20850848,6318205525,139398
27-Mar-25,EQ,297,302,296.63,299.54,301.8,300.65,300.35,340.5,195.95,14453677,4341164420,120151
26-Mar-25,EQ,301.07,305.5,298.49,300.03,299.25,299.54,301.83,340.5,195.95,23869923,7204646106,162602
25-Mar-25,EQ,304,304.5,298.65,302.1,299.3,300.03,300.9,340.5,195.95,19364944,5826922224,169170
24-Mar-25,EQ,296.9,304.9,296.35,295.74,302.95,302.1,302.22,340.5,195.95,29935092,9046934211,165187
21-Mar-25,EQ,301,301,292.75,297.05,296,295.74,296.44,340.5,182.5,41751586,12377014011,220702
20-Mar-25,EQ,294.81,297.78,291.1,290,296.7,297.05,295.04,340.5,182.5,27889890,8228524940,167953
19-Mar-25,EQ,286,292.99,284.76,285.31,289.98,290,289.2,340.5,182.5,21098065,6101645604,188934
18-Mar-25,EQ,282,286,280.31,279.93,285.6,285.31,283.2,340.5,182.5,15290505,4330326862,112138
17-Mar-25,EQ,281,283.38,276.72,280.07,279.9,279.93,279.54,340.5,182.5,13883682,3881105749,131397
13-Mar-25,EQ,283,285.8,279.42,276.83,280.1,280.07,282.52,340.5,179.1,38015489,10740037748,242972
12-Mar-25,EQ,278.78,280.4,274.12,277.18,276.5,276.83,277.22,340.5,179.1,15308721,4243876446,137876
11-Mar-25,EQ,271.95,278.5,269.05,272.33,277.58,277.18,274.9,340.5,179.1,20980143,5767426863,150205
10-Mar-25,EQ,278.6,283.47,271.55,276.99,272.29,272.33,278.05,340.5,179.1,20986855,5835487725,162153
07-Mar-25,EQ,275.8,279.73,274,272.95,276.2,276.99,277.54,340.5,179.1,25542382,7088998466,183737
06-Mar-25,EQ,276.21,281,271.83,274.92,272.5,272.95,274.51,340.5,179.1,22586087,6200083339,198864
05-Mar-25,EQ,265,275.8,263.33,264.71,274.35,274.92,271.04,340.5,179.1,28499877,7724491506,220341
04-Mar-25,EQ,253.89,266.5,252.5,257.39,264.6,264.71,263.31,340.5,179.1,24998454,6582429399,198471
03-Mar-25,EQ,247.5,258.9,244.36,246.25,257.5,257.39,252.68,340.5,179.1,24644079,6227127361,187276
28-Feb-25,EQ,250,250.95,243.5,252.45,247.25,246.25,246.6,340.5,179.1,17754591,4378341843,148251
27-Feb-25,EQ,257.1,258.4,251.9,256.65,252,252.45,254.13,340.5,179.1,11087404,2817672740,108069
25-Feb-25,EQ,256.35,258.55,255.35,256.35,256.1,256.65,257.35,340.5,179.1,14770656,3801185537,104286
24-Feb-25,EQ,251,258.45,250.5,256.1,256.6,256.35,255.23,340.5,179.1,15409569,3932930984,129465
21-Feb-25,EQ,259.5,262.5,254.4,260.25,255,256.1,257.51,340.5,179.1,16594628,4273284833,131323
