Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,5504,5585.5,5491,5466,5509,5509.5,5538.12,5906.5,4253.85,638327,3535129664,59243
15-May-25,EQ,5500,5548,5360,5446.5,5473.5,5466,5456.86,5906.5,4253.85,1930277,10533243961,168706
14-May-25,EQ,5430,5477.5,5360,5419,5447,5446.5,5434.81,5906.5,4253.85,315866,1716670532,39786
13-May-25,EQ,5506.5,5553.5,5392.5,5520,5424,5419,5443.59,5906.5,4253.85,416275,2266029795,44047
12-May-25,EQ,5505,5541,5414,5324,5525,5520,5498.63,5906.5,4253.85,327631,1801522776,37927
09-May-25,EQ,5295,5340.5,5260.5,5372.5,5328,5324,5300.75,5906.5,4253.85,412056,2184204246,73452
08-May-25,EQ,5463.5,5488.5,5339.5,5489,5355,5372.5,5403.54,5906.5,4253.85,609858,3295392533,58774
07-May-25,EQ,5460.5,5571,5452.5,5515,5468.5,5489,5506.44,5906.5,4253.85,349955,1927004526,39958
06-May-25,EQ,5460.5,5597,5440.5,5460.5,5505,5515,5542.36,5906.5,4253.85,514699,2852646553,51260
05-May-25,EQ,5469.5,5480,5411,5437.5,5473,5460.5,5450.54,5906.5,4253.85,320466,1746713176,36689
02-May-25,EQ,5560,5560,5376,5567,5428,5437.5,5436.49,5906.5,4253.85,695557,3781388631,72873
30-Apr-25,EQ,5605,5605,5505.5,5579,5573.5,5567,5558.91,5906.5,4253.85,509786,2833853646,53509
29-Apr-25,EQ,5626.5,5691.5,5508,5622,5574.5,5579,5570.01,5906.5,4253.85,309552,1724207968,48124
28-Apr-25,EQ,5580.5,5658,5550.5,5575.5,5618,5622,5618,5906.5,4253.85,403569,2267250051,58261
25-Apr-25,EQ,5662.5,5668,5517.5,5650.5,5560,5575.5,5580.77,5906.5,4253.85,457510,2553258451,45892
24-Apr-25,EQ,5736,5774.5,5620,5740,5632,5650.5,5678.29,5906.5,4253.85,503663,2859943646,59332
23-Apr-25,EQ,5789,5816.5,5605.5,5784,5730,5740,5712.56,5906.5,4253.85,582611,3328202930,71511
22-Apr-25,EQ,5811,5906.5,5766.5,5810.5,5789,5784,5830.24,5906.5,4253.85,459537,2679213180,52379
21-Apr-25,EQ,5695.5,5857.5,5643.5,5678.5,5808,5810.5,5784.39,5857.5,4253.85,551547,3190360230,46644
17-Apr-25,EQ,5615.5,5715.5,5576,5615.5,5663,5678.5,5662.56,5715.5,4193.75,564357,3195703020,79735
