Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,242.6,246.94,242,242.59,244.9,245.76,245.02,304.7,146.3,30854384,7559835501,152112
15-May-25,EQ,236.2,245.3,233.75,236.86,242.18,242.59,240.41,304.7,146.3,40335990,9697192437,191729
14-May-25,EQ,232,237.44,232,231.65,236.27,236.86,235.44,304.7,146.3,23158211,5452465594,144650
13-May-25,EQ,238,239.47,231.05,239.5,231.5,231.65,233.74,304.7,146.3,44837486,10480381214,309388
12-May-25,EQ,232,240,232,227.14,239.05,239.5,236.98,304.7,146.3,31757003,7525650380,163171
09-May-25,EQ,222,229,222,229.81,228.15,227.14,226.2,304.7,146.3,24415321,5522855143,255926
08-May-25,EQ,235.25,236.45,226.6,236.9,227,229.81,230.27,304.7,146.3,49888442,11487618942,222882
07-May-25,EQ,228.6,237.67,228.6,232.64,236.48,236.9,234.26,304.7,146.3,31614852,7406083013,137963
06-May-25,EQ,240,241.5,231.85,239.9,232.7,232.64,235.04,304.7,146.3,25327712,5953028751,213490
05-May-25,EQ,234.5,240.97,232.93,234.29,240.1,239.9,238.94,304.7,146.3,37948115,9067175347,240824
02-May-25,EQ,220.05,239.5,220.05,232.52,234.41,234.29,234.13,304.7,146.3,104910316,24562471039,697809
30-Apr-25,EQ,232,234.75,226.1,231.11,231.43,232.52,231.06,304.7,146.3,45831746,10590029248,213328
29-Apr-25,EQ,228.37,234.24,226.6,227.21,231.16,231.11,230.59,304.7,146.3,32761971,7554710474,177098
28-Apr-25,EQ,226,231.99,225.06,228.81,226.7,227.21,227.58,304.7,146.3,29327020,6674331222,146990
25-Apr-25,EQ,235.9,239,227.31,236.38,227.71,228.81,231.73,304.7,146.3,32437650,7516617504,165167
24-Apr-25,EQ,237,241.37,235,239.24,236.8,236.38,237.78,304.7,146.3,46103369,10962263426,186390
23-Apr-25,EQ,237.48,240.25,233.05,237.47,238.15,239.24,237.42,304.7,146.3,42294685,10041669791,280063
22-Apr-25,EQ,236,243.45,235,234.24,236.57,237.47,238.74,304.7,146.3,59667380,14245260299,320284
21-Apr-25,EQ,229,235.3,227.1,231.6,234.22,234.24,232.13,304.7,146.3,66028533,15326976503,318929
17-Apr-25,EQ,220.6,236.14,220.38,222.08,232,231.6,230.19,304.7,146.3,70125937,16142293628,302980
16-Apr-25,EQ,220.51,222.64,218.4,222.23,221.85,222.08,221,304.7,146.3,26155875,5780329676,130093
15-Apr-25,EQ,224.25,224.25,220.1,217.2,222.9,222.23,221.95,304.7,146.3,45034496,9995455681,194207
11-Apr-25,EQ,216,218.31,214.1,211.39,216,217.2,216.93,304.7,146.3,28917549,6273038371,179516
09-Apr-25,EQ,216,216,209.86,215.19,211.15,211.39,211.64,304.7,146.3,25359931,5367159351,162551
08-Apr-25,EQ,213.19,219.19,210.81,209.63,214.55,215.19,215.33,304.7,146.3,62002510,13351193761,362486
07-Apr-25,EQ,196,211,194.8,210.53,211,209.63,205.47,304.7,146.3,64932923,13341895638,334420
04-Apr-25,EQ,211.84,212.58,205.67,210.9,210.46,210.53,209.49,304.7,146.3,48296676,10117471819,248714
03-Apr-25,EQ,208.15,214,208,212.03,211,210.9,211.51,304.7,146.3,44447473,9401128837,298707
02-Apr-25,EQ,203.5,212.6,202,202.01,211.7,212.03,207.87,304.7,146.3,59441448,12355907875,277483
01-Apr-25,EQ,201.7,205,198.85,201.7,203.35,202.01,201.89,304.7,146.3,63369467,12793574020,361222
28-Mar-25,EQ,204.24,209.9,200.5,206.28,201.2,201.7,204.43,304.7,146.3,74842762,15299765438,334406
27-Mar-25,EQ,204.47,208.75,200.37,203.29,203,206.28,205.79,304.7,146.3,400414753,82400147802,539248
26-Mar-25,EQ,202.35,206.9,199.92,209.81,204.47,203.29,203.89,304.7,146.3,114342130,23312857118,478755
25-Mar-25,EQ,223.8,225.1,209,222.8,210.2,209.81,213.41,304.7,146.3,84184995,17966220991,422009
24-Mar-25,EQ,228.8,230.2,222.2,227.52,222.84,222.8,225.05,304.7,146.3,41920679,9434393719,246715
21-Mar-25,EQ,220,228.85,220,224.47,227.5,227.52,225.92,304.7,146.3,113328549,25602736121,257104
20-Mar-25,EQ,226,228,221.87,223.53,224,224.47,224.74,304.7,146.3,61376776,13793810551,188392
19-Mar-25,EQ,218.5,227.5,218.5,218.19,223.8,223.53,224.39,304.7,146.3,65519150,14701655218,381459
