Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,2360,2387,2349,2355.2,2380,2381.4,2364.82,3035,2136,1473000,3483386516,68020
15-May-25,EQ,2351.6,2369.9,2340,2350.5,2355,2355.2,2355.01,3035,2136,3236681,7622408947,145637
14-May-25,EQ,2370,2370,2338.5,2360,2351.7,2350.5,2348.36,3035,2136,1568111,3682482876,89391
13-May-25,EQ,2375.6,2398,2352.8,2382.5,2359.7,2360,2365.67,3035,2136,1929665,4564943492,102660
12-May-25,EQ,2360,2387,2346.1,2332.9,2381.7,2382.5,2377.71,3035,2136,1274873,3031275468,61649
09-May-25,EQ,2330,2342.7,2302.3,2354.9,2336,2332.9,2325.81,3035,2136,1805685,4199687092,99944
08-May-25,EQ,2361.7,2371.9,2341,2370.8,2346.8,2354.9,2355.19,3035,2136,2323073,5471266856,115982
07-May-25,EQ,2369,2386.9,2355.3,2381.8,2367.1,2370.8,2373.36,3035,2136,1610400,3822055801,69587
06-May-25,EQ,2340.2,2390.1,2340.2,2348.6,2381.6,2381.8,2374.17,3035,2136,1888125,4482731038,98625
05-May-25,EQ,2324.1,2354.9,2319.1,2323.9,2346.5,2348.6,2345.9,3035,2136,2074103,4865631673,77265
02-May-25,EQ,2334.1,2345,2310,2342.1,2318.6,2323.9,2326.05,3035,2136,1953078,4542956706,82367
30-Apr-25,EQ,2320,2352.5,2316,2321.7,2335.5,2342.1,2342.17,3035,2136,2083807,4880621395,133969
29-Apr-25,EQ,2328,2332.5,2312.6,2318.6,2325,2321.7,2322.81,3035,2136,1896387,4404947519,76093
28-Apr-25,EQ,2345,2349,2315,2332.2,2317.6,2318.6,2325.52,3035,2136,1555660,3617715984,77606
25-Apr-25,EQ,2331.9,2341.9,2294.4,2325.3,2328.1,2332.2,2314.91,3035,2136,2859858,6620321628,167193
24-Apr-25,EQ,2423.8,2487.4,2317.1,2423.8,2324,2325.3,2357.73,3035,2136,7065430,16658408484,291862
23-Apr-25,EQ,2410,2438,2393.4,2398.7,2422,2423.8,2419.7,3035,2136,2226066,5386401196,107014
22-Apr-25,EQ,2370,2406,2355.1,2351,2403,2398.7,2385.63,3035,2136,2352346,5611821276,108902
21-Apr-25,EQ,2368.1,2372.4,2348.8,2375,2352,2351,2354.29,3035,2136,1478430,3480657060,95682
17-Apr-25,EQ,2357.1,2379.9,2343.1,2366.6,2372.5,2375,2365.08,3035,2136,1962402,4641234269,123489
16-Apr-25,EQ,2351,2376,2351,2361.5,2364.5,2366.6,2364.89,3035,2136,1131979,2677007573,58736
15-Apr-25,EQ,2400,2400,2345.2,2366.15,2368,2361.5,2360.91,3035,2136,3042779,7183724031,102995
11-Apr-25,EQ,2394.6,2394.85,2344.35,2350,2362.1,2366.15,2362.43,3035,2136,3836083,9062473925,150510
09-Apr-25,EQ,2293.95,2354.15,2289.5,2289.25,2349,2350,2341.45,3035,2136,2989089,6998787700,138810
08-Apr-25,EQ,2268.3,2306.2,2252.35,2249.4,2293.95,2289.25,2285.43,3035,2136,2774874,6341793093,145572
07-Apr-25,EQ,2150,2261.6,2150,2244.55,2250,2249.4,2234.34,3035,2136,3435185,7675370703,194418
04-Apr-25,EQ,2230,2267.05,2222,2244.55,2243.35,2244.55,2245.11,3035,2136,1120226,2515030830,61995
03-Apr-25,EQ,2225.45,2252.9,2220.6,2237.9,2241.65,2244.55,2240.47,3035,2136,1310088,2935218324,73387
02-Apr-25,EQ,2243.7,2243.7,2190.05,2233.85,2237,2237.9,2225.48,3035,2136,1351493,3007727207,73173
01-Apr-25,EQ,2259,2284.65,2220,2258.85,2237,2233.85,2241.96,3035,2136,2495962,5595842113,107898
28-Mar-25,EQ,2247,2296,2240.3,2244.65,2257.85,2258.85,2269.13,3035,2136,2280152,5173964116,98348
27-Mar-25,EQ,2244.2,2260.9,2200,2245.95,2243.85,2244.65,2245.33,3035,2136,3752627,8425874289,105998
26-Mar-25,EQ,2272,2279.9,2237.8,2271.3,2246.3,2245.95,2258.68,3035,2136,1416907,3200333406,96908
25-Mar-25,EQ,2250.75,2292,2243.35,2256.2,2264.7,2271.3,2271.3,3035,2136,2229340,5063505026,113061
24-Mar-25,EQ,2250.25,2266,2241,2246.2,2265.15,2256.2,2251.01,3035,2136,1454404,3273876899,66657
21-Mar-25,EQ,2245,2255.2,2225.8,2242.4,2247.5,2246.2,2244.27,3035,2136,2152415,4830600493,89511
20-Mar-25,EQ,2203.9,2248.9,2188.45,2200.05,2239.45,2242.4,2231.62,3035,2136,1426689,3183821439,75743
19-Mar-25,EQ,2207,2212.85,2193.45,2201.4,2198.95,2200.05,2200.94,3035,2136,1341405,2952352215,68294
18-Mar-25,EQ,2189.65,2215,2175,2171.25,2204.9,2201.4,2200.91,3035,2136,1475585,3247633509,74920
17-Mar-25,EQ,2161,2195.45,2156.5,2174.8,2172.5,2171.25,2169.26,3035,2136,1111886,2411964953,77099
13-Mar-25,EQ,2185,2209.95,2164.45,2192.9,2177,2174.8,2185.53,3035,2136,1845629,4033679412,97573
12-Mar-25,EQ,2217.35,2229.95,2185,2216.95,2194.65,2192.9,2209.6,3035,2136,1526212,3372315448,73258
11-Mar-25,EQ,2240,2262.45,2211.25,2247.75,2220,2216.95,2237.31,3035,2136,1325891,2966434804,94027
10-Mar-25,EQ,2208,2267.15,2194.65,2204.55,2246.5,2247.75,2249.51,3035,2136,1242387,2794766543,100482
07-Mar-25,EQ,2226.7,2226.7,2189.2,2218.95,2207.95,2204.55,2202.48,3035,2136,1738356,3828688639,56239
06-Mar-25,EQ,2175,2229.8,2163.75,2170.45,2221.85,2218.95,2204.64,3035,2136,1856868,4093724918,118991
05-Mar-25,EQ,2152,2191.9,2150,2157.35,2175,2170.45,2174.22,3035,2136,1145673,2490948850,74606
04-Mar-25,EQ,2179.95,2180,2136,2176.85,2152.5,2157.35,2154.76,3035,2136,1800330,3879276706,93829
03-Mar-25,EQ,2199,2199,2158.5,2190.25,2180,2176.85,2171.46,3035,2158.5,1306470,2836946795,87808
28-Feb-25,EQ,2245.05,2249.6,2185.85,2244.95,2196,2190.25,2199.62,3035,2172.05,3683249,8101755688,124357
27-Feb-25,EQ,2269.65,2269.65,2233.1,2259.3,2243.55,2244.95,2248.58,3035,2172.05,1699658,3821812212,93485
25-Feb-25,EQ,2243,2269.6,2237.95,2241.45,2254,2259.3,2256.43,3035,2172.05,1988040,4485870450,101737
24-Feb-25,EQ,2230,2251,2218.8,2241.65,2241.2,2241.45,2236.2,3035,2172.05,1627949,3640425366,102226
21-Feb-25,EQ,2248.05,2253.55,2226.4,2248.05,2238.5,2241.65,2238.8,3035,2172.05,1781509,3988450489,107600
20-Feb-25,EQ,2250.4,2254.45,2226.5,2250.4,2247.55,2248.05,2242.73,3035,2172.05,2206196,4947912584,121656
19-Feb-25,EQ,2298.75,2305.7,2248,2296,2250,2250.4,2259.24,3035,2172.05,1521343,3437076585,119114
18-Feb-25,EQ,2329.4,2338.55,2288,2329.4,2297.5,2296,2304.96,3035,2172.05,1035705,2387257469,74925
17-Feb-25,EQ,2318.35,2336,2300,2318.35,2326,2329.4,2320.37,3035,2172.05,1409168,3269794823,81591
14-Feb-25,EQ,2322,2366,2313.4,2321.5,2317.8,2318.35,2333.21,3035,2172.05,1135380,2649076295,82057
13-Feb-25,EQ,2330.1,2345.6,2313.35,2332.5,2319.6,2321.5,2328.4,3035,2172.05,1334967,3108334190,82367
12-Feb-25,EQ,2325.7,2339.9,2305.1,2315.25,2331,2332.5,2326.18,3035,2172.05,1341909,3121517789,78808
11-Feb-25,EQ,2371,2377.95,2296.55,2361.45,2321.9,2315.25,2326.89,3035,2172.05,1389260,3232657580,116191
10-Feb-25,EQ,2370.9,2398,2352.05,2363.85,2356.5,2361.45,2370.68,3035,2172.05,1326354,3144355523,76507
07-Feb-25,EQ,2380,2381.95,2336.1,2372.7,2364.3,2363.85,2359.97,3035,2172.05,855602,2019196871,63809
06-Feb-25,EQ,2400,2408.95,2360.3,2391.05,2375.5,2372.7,2378.98,3035,2172.05,1132113,2693270251,80657
05-Feb-25,EQ,2453,2453,2387,2438.05,2392.85,2391.05,2406.59,3035,2172.05,1357416,3266742267,86373
04-Feb-25,EQ,2450,2450,2402.85,2441.95,2433,2438.05,2428.06,3035,2172.05,1992474,4837851363,111192
03-Feb-25,EQ,2505,2520,2416.5,2506.05,2445.3,2441.95,2453.98,3035,2172.05,2528480,6204847462,142095
01-Feb-25,EQ,2475,2602,2435.15,2468.8,2505,2506.05,2536.1,3035,2172.05,2970999,7534758009,192649
31-Jan-25,EQ,2401.5,2479,2401.5,2408.75,2473.65,2468.8,2452.41,3035,2172.05,2116148,5189670977,138898
30-Jan-25,EQ,2384,2425,2384,2383.95,2420,2408.75,2402.47,3035,2172.05,1419960,3411412576,82042
29-Jan-25,EQ,2385.15,2396,2364,2388.85,2386.5,2383.95,2382.85,3035,2172.05,699576,1666986082,70138
28-Jan-25,EQ,2401,2407,2379.45,2392.85,2383.05,2388.85,2392.35,3035,2172.05,1892156,4526694538,102612
27-Jan-25,EQ,2365,2409.7,2361.15,2368.1,2391.05,2392.85,2392.29,3035,2172.05,2477358,5926571143,126605
24-Jan-25,EQ,2332.85,2380.8,2323,2321.7,2380.1,2368.1,2358.95,3035,2172.05,1688664,3983465854,90539
23-Jan-25,EQ,2315,2341.3,2253.85,2342.95,2325.9,2321.7,2309.71,3035,2172.05,3408925,7873633934,198293
22-Jan-25,EQ,2342.55,2362,2332.2,2340.5,2340,2342.95,2345.47,3035,2172.05,2658047,6234358198,112774
21-Jan-25,EQ,2353.5,2377.3,2332.45,2345.2,2344.15,2340.5,2352.85,3035,2172.05,1842885,4336026636,113425
20-Jan-25,EQ,2356.45,2368,2335.65,2354,2345.55,2345.2,2355.89,3035,2172.05,1382273,3256489786,67506
