Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,434.9,436.2,432.1,432.65,435.6,435.7,434.74,471.5,390.15,16402035,7130684219,105849
15-May-25,EQ,429.1,435.4,426,429.1,432,432.65,431.14,471.5,390.15,24263510,10460938250,173965
14-May-25,EQ,427.1,431.85,425.9,427.9,429.05,429.1,428.65,471.5,390.15,9557309,4096782375,96326
13-May-25,EQ,434.9,437.95,425.35,435.5,427.9,427.9,429.47,471.5,390.15,14976369,6431940112,153294
12-May-25,EQ,429.5,436.2,428.15,423.55,435.1,435.5,433.63,471.5,390.15,8031891,3482863922,78145
09-May-25,EQ,425.95,429.15,423,430.6,424,423.55,425.58,471.5,390.15,8226512,3501026097,134382
08-May-25,EQ,429,431.5,423.55,431.15,429.4,430.6,428.99,471.5,390.15,19937960,8553117658,173524
07-May-25,EQ,433.4,435,429.7,435.55,430.15,431.15,431.77,471.5,390.15,9710361,4192656820,148037
06-May-25,EQ,437.5,439.65,433,436.95,433.2,435.55,436.24,471.5,390.15,15026568,6555176632,133609
05-May-25,EQ,430.25,438.5,429.35,430.25,437.5,436.95,436.11,471.5,390.15,11525305,5026339794,117066
02-May-25,EQ,424.1,431.5,424.1,425.8,429.3,430.25,428.82,471.5,390.15,12769461,5475858518,115137
30-Apr-25,EQ,427.4,429.3,422,426,425,425.8,426.72,471.5,390.15,10026546,4278552725,197832
29-Apr-25,EQ,428.9,429.6,425,428.8,425.35,426,426.31,471.5,390.15,11189930,4770331680,228223
28-Apr-25,EQ,426.65,430.5,424.75,427.8,428.75,428.8,428.56,471.5,390.15,6287095,2694427014,73016
25-Apr-25,EQ,430.05,432.7,423.3,430.05,427.6,427.8,425.99,471.5,390.15,22944377,9774087062,120877
24-Apr-25,EQ,431.85,436.05,429.3,430.85,429.85,430.05,431.79,471.5,390.15,26064089,11254147788,134018
23-Apr-25,EQ,436.2,437.45,428.85,433.6,430.15,430.85,431.14,471.5,390.15,19566317,8435917734,144472
22-Apr-25,EQ,425.95,434.8,423.55,422.85,432.85,433.6,427.96,471.5,390.15,32031936,13708485407,167601
21-Apr-25,EQ,428.05,429.1,421.5,427.25,422.95,422.85,422.51,471.5,390.15,27388236,11571885187,218049
17-Apr-25,EQ,425,427.85,421.55,424.45,427,427.25,425.37,471.5,390.15,22410217,9532679413,222404
16-Apr-25,EQ,418,426.05,418,420.4,424.9,424.45,423.29,471.5,390.15,13034594,5517451893,115189
15-Apr-25,EQ,429.2,429.2,419,421.55,420.35,420.4,421.35,471.5,390.15,11685880,4923848656,129742
11-Apr-25,EQ,420,422.45,417,416.3,422,421.55,420.4,471.5,390.15,8939356,3758063115,98015
09-Apr-25,EQ,413,419.05,411.25,412.55,416.15,416.3,416.41,471.5,390.15,21785572,9071650104,242191
08-Apr-25,EQ,411.9,415.8,407.25,406.05,413.5,412.55,411.57,471.5,390.15,18600796,7655492506,234584
07-Apr-25,EQ,390.15,408.1,390.15,409.7,406.75,406.05,403.02,471.5,390.15,26762866,10785870136,307280
04-Apr-25,EQ,407.5,412.8,404.5,409.4,409.3,409.7,409.44,471.5,391.2,18627592,7626798176,149408
03-Apr-25,EQ,407.05,410.2,406.7,409.05,409,409.4,408.93,471.5,391.2,7059566,2886881315,78934
02-Apr-25,EQ,407.05,410,406.05,406.65,408.7,409.05,408.65,471.5,391.2,8001323,3269711919,72562
01-Apr-25,EQ,409.8,414.4,405.6,409.75,406.6,406.65,409.28,471.5,391.2,15206240,6223651578,127499
28-Mar-25,EQ,410.9,415.6,408.15,409.45,410.25,409.75,410.91,471.5,391.2,12981873,5334443058,114689
27-Mar-25,EQ,408,410.7,405.65,407.35,409.35,409.45,409.35,471.5,391.2,18642328,7631235472,153590
26-Mar-25,EQ,410.3,411.2,406.25,409.8,407.4,407.35,409.03,471.5,391.2,13891436,5681950426,103317
25-Mar-25,EQ,412,415.25,408.7,410.9,409.2,409.8,411.17,471.5,391.2,20338110,8362411028,138414
24-Mar-25,EQ,407,412.85,405.6,405.55,411,410.9,409.64,471.5,391.2,14362572,5883505696,138703
21-Mar-25,EQ,405.95,407.5,401.7,403.95,406.5,405.55,404.1,471.5,391.2,25302035,10224618508,130427
20-Mar-25,EQ,405,406.65,401.9,403.05,403.6,403.95,403.5,471.5,391.2,16994037,6857153652,125979
19-Mar-25,EQ,410,410.75,402.6,409.1,403.4,403.05,404.51,471.5,391.2,12830387,5189984215,135494
18-Mar-25,EQ,410,411.95,407.75,407.95,409.5,409.1,409.5,471.5,391.2,13861897,5676500785,106364
17-Mar-25,EQ,413,416.25,407,412.05,407.8,407.95,409.81,471.5,391.2,5257859,2154706809,87899
13-Mar-25,EQ,413,414.4,408.2,412.4,411.45,412.05,412.4,471.5,391.2,8196569,3380286306,122083
12-Mar-25,EQ,406.4,413.3,404,406.2,412.55,412.4,409.75,471.5,391.2,13844306,5672766835,99237
11-Mar-25,EQ,401.5,408.4,401.2,405,406.2,406.2,406.58,471.5,391.2,11099475,4512793432,116862
10-Mar-25,EQ,401.05,406.85,400.4,403.9,404.8,405,404.7,471.5,391.2,9785018,3960032837,114078
07-Mar-25,EQ,403.55,405.85,401.7,405.7,403.75,403.9,403.66,471.5,391.2,11180761,4513190673,129975
06-Mar-25,EQ,409.15,409.7,400.55,405.05,406.2,405.7,403.66,471.5,391.2,17869996,7213483492,170718
05-Mar-25,EQ,394.5,412.75,394.5,394.85,409.2,405.05,399.82,471.5,391.2,15665018,6263165318,169098
04-Mar-25,EQ,395.4,397.2,392.85,397.45,394.45,394.85,394.38,471.5,391.2,13404774,5286594133,154199
03-Mar-25,EQ,395.95,399,391.2,395,397,397.45,396.98,471.5,391.2,10702826,4248773536,169634
28-Feb-25,EQ,399,402.5,392.2,401.6,395.9,395,394.79,471.5,392.2,31954776,12615432841,244503
27-Feb-25,EQ,404.85,406.5,399.5,404.85,401.5,401.6,401.75,471.5,396.2,19051003,7653697871,163369
25-Feb-25,EQ,402,407,400.5,401.9,404,404.85,404.11,471.5,396.2,15760891,6369071143,138641
24-Feb-25,EQ,400,403.4,398.75,400.9,402,401.9,401.96,471.5,396.2,7037625,2828832997,121155
21-Feb-25,EQ,402.05,403.25,399.2,402.05,400.7,400.9,400.75,471.5,396.2,8240986,3302544310,175217
20-Feb-25,EQ,399.95,403.9,396.2,406.4,402,402.05,401.31,471.5,396.2,15355585,6162379397,226856
19-Feb-25,EQ,404.8,408.8,404.5,405.25,406.2,406.4,406.89,471.5,404,7079032,2880411816,88693
18-Feb-25,EQ,408,410.85,404,408.6,404.9,405.25,406.53,471.5,404,12998403,5284237637,208753
