Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,274.1,277.95,273.05,273.7,276.3,277,275.2,376,198.65,13449060,3701187921,83839
15-May-25,EQ,268,274.6,265.5,267.5,274.05,273.7,270.51,376,198.65,16201350,4382655795,128902
14-May-25,EQ,268.8,269.95,265.2,267.4,267.8,267.5,267.55,376,198.65,13255755,3546522593,100971
13-May-25,EQ,263.2,268.95,261.5,262.9,267.7,267.4,266.47,376,198.65,19305043,5144307935,132015
12-May-25,EQ,258.95,263.5,257,248.35,263,262.9,261.3,376,198.65,19437052,5078891516,117986
09-May-25,EQ,244.1,250,242,251.45,249.2,248.35,246,378.9,198.65,25011071,6152727120,146842
08-May-25,EQ,256.1,258.3,249.4,256.1,250.05,251.45,254.24,378.9,198.65,14849940,3775402948,99409
07-May-25,EQ,245.05,256.7,245.05,251.2,256.5,256.1,253.43,378.9,198.65,19393399,4914913594,110105
06-May-25,EQ,259.25,260.75,250.4,260.6,251,251.2,254.53,378.9,198.65,18568703,4726315282,120140
05-May-25,EQ,259.6,262.4,259.3,258.8,260.45,260.6,260.58,378.9,198.65,10986246,2862767921,77956
02-May-25,EQ,262.9,265.2,257.75,260.42,258.3,258.8,261.48,385.85,198.65,20015942,5233783257,125758
30-Apr-25,EQ,256,263.3,255.2,257.63,259.08,260.42,260.13,385.85,198.65,32058337,8339451309,162742
29-Apr-25,EQ,258.1,259.75,255.6,257.9,257.5,257.63,257.64,385.85,198.65,12494831,3219149375,91018
28-Apr-25,EQ,252.39,259.7,252.3,253.05,258,257.9,256.95,385.85,198.65,19380922,4979877692,115267
25-Apr-25,EQ,258.78,261.62,249.1,258.78,252.39,253.05,254.06,394.7,198.65,33348716,8472452549,227469
24-Apr-25,EQ,258,259.8,256.5,258.14,258.94,258.78,258.43,394.7,198.65,17152009,4432578573,118106
23-Apr-25,EQ,252,258.55,251.39,250.56,258.02,258.14,255.78,394.7,198.65,37568336,9609176120,187743
22-Apr-25,EQ,245.5,251.34,243.7,246.38,250.6,250.56,248.08,394.7,198.65,30235264,7500774422,143908
21-Apr-25,EQ,250,250,244.5,246.47,245.96,246.38,247.01,394.7,198.65,31786610,7851677525,228473
17-Apr-25,EQ,242.94,248,238.3,242.28,246.2,246.47,243.57,394.7,198.65,30422206,7410087110,189979
16-Apr-25,EQ,239.05,242.75,237.26,238.57,242.3,242.28,241.23,394.7,198.65,27720767,6687111660,169243
15-Apr-25,EQ,235.9,239.49,232.6,230.02,239.05,238.57,236.01,394.7,198.65,27663804,6529029769,151900
11-Apr-25,EQ,225.78,230.98,223.72,220.92,230.4,230.02,228.08,394.7,198.65,24630876,5617889915,143791
09-Apr-25,EQ,224,224,218.25,224.81,221.1,220.92,220.49,394.7,198.65,19372735,4271539026,135433
08-Apr-25,EQ,217,225.5,216.62,213.52,225.49,224.81,221.41,394.7,198.65,25131280,5564349833,150831
07-Apr-25,EQ,203.1,215,203.1,222.32,214.85,213.52,210.67,394.7,198.65,25772065,5429415661,274102
04-Apr-25,EQ,230.05,230.35,220.8,230.41,222.55,222.32,223.93,394.7,198.65,20832533,4664961093,146438
03-Apr-25,EQ,227,231.79,226.5,229.78,230.64,230.41,229.87,394.7,198.65,11752612,2701586821,83669
02-Apr-25,EQ,230.99,230.99,225.3,230.42,229.91,229.78,228.22,394.7,198.65,16203186,3697843658,99095
01-Apr-25,EQ,227,231.29,225.21,227.51,230.94,230.42,228.99,394.7,198.65,18781790,4300830260,110587
