Date,Series,Open ,High ,Low ,Prev_close,ltp,Close,vwap,52W_L,52W_L,volume,value,no_of_trades
16-May-25,EQ,1154.9,1173.5,1144,1147.2,1170,1168,1160.11,1262.6,882.9,1336653,1550666409,53338
15-May-25,EQ,1120.4,1159.2,1105.5,1120.4,1146,1147.2,1137.25,1262.6,882.9,2064096,2347390792,90774
14-May-25,EQ,1118.6,1128.9,1115.8,1118.6,1120.5,1120.4,1121.28,1262.6,882.9,1386813,1554999010,51043
13-May-25,EQ,1145.3,1150.3,1116.2,1145.6,1120.6,1118.6,1125.54,1262.6,882.9,1096797,1234484496,50065
12-May-25,EQ,1123,1155,1123,1113.7,1144.5,1145.6,1143.37,1262.6,882.9,748637,855965948,39678
09-May-25,EQ,1098,1118.6,1086.4,1116,1111,1113.7,1105.34,1262.6,882.9,815694,901620672,43786
08-May-25,EQ,1136,1140,1107.5,1146,1113.6,1116,1117.65,1262.6,882.9,2692162,3008906216,100148
07-May-25,EQ,1140,1162.3,1136.4,1155.3,1145.5,1146,1150.86,1262.6,882.9,1792683,2063122316,54089
06-May-25,EQ,1161.5,1173.5,1152.6,1161.5,1154,1155.3,1161.38,1262.6,882.9,1382140,1605183178,51329
05-May-25,EQ,1155.5,1173.6,1153,1156.8,1163.4,1161.5,1163.6,1262.6,882.9,1359727,1582179657,65349
02-May-25,EQ,1157,1176.2,1151,1165.8,1153,1156.8,1162.1,1262.6,882.9,1042342,1211310589,50602
30-Apr-25,EQ,1174.7,1180.5,1152.4,1168.9,1160,1165.8,1166.76,1262.6,882.9,1477319,1723673530,64157
29-Apr-25,EQ,1155.2,1174.1,1149.9,1155.2,1171,1168.9,1162.42,1262.6,882.9,1439143,1672882618,72564
28-Apr-25,EQ,1146.1,1162.5,1145,1155.7,1154,1155.2,1155.44,1262.6,882.9,663435,766562210,45266
25-Apr-25,EQ,1160.2,1165,1130.7,1161.3,1149,1155.7,1153.03,1262.6,882.9,1451946,1674137874,78220
24-Apr-25,EQ,1151,1168.9,1098.3,1150.1,1160.9,1161.3,1140.39,1262.6,882.9,5766752,6576335415,193964
23-Apr-25,EQ,1143,1156.6,1132.6,1136.7,1145,1150.1,1144.21,1262.6,882.9,1760325,2014177316,63417
22-Apr-25,EQ,1121.7,1149,1118.2,1121,1138.6,1136.7,1138.39,1262.6,882.9,1231830,1402308327,59611
21-Apr-25,EQ,1120.2,1129.5,1102.4,1120.2,1121.7,1121,1120.22,1262.6,882.9,692767,776052201,36968
17-Apr-25,EQ,1104,1133.8,1094.5,1105.9,1119,1120.2,1117.53,1262.6,882.9,1541674,1722861664,79947
16-Apr-25,EQ,1094.1,1108.9,1086.8,1103.4,1106,1105.9,1099.96,1262.6,882.9,679360,747270155,34203
15-Apr-25,EQ,1108.3,1111,1094.1,1097.9,1102.7,1103.4,1101.89,1262.6,882.9,1023355,1127620752,39828
11-Apr-25,EQ,1125,1126,1093.75,1089.75,1100,1097.9,1103.62,1262.6,882.9,1888677,2084376151,60151
09-Apr-25,EQ,1062,1092.95,1060.05,1069.75,1087.55,1089.75,1084.48,1262.6,882.9,2274161,2466272310,84220
08-Apr-25,EQ,1056,1073.5,1044.75,1047.35,1067.1,1069.75,1060.48,1262.6,882.9,1444712,1532084979,65161
07-Apr-25,EQ,1019,1077.7,1019,1087.85,1048,1047.35,1048.84,1262.6,882.9,3200820,3357151617,133539
04-Apr-25,EQ,1065.45,1095.55,1062.9,1071,1088,1087.85,1087.37,1262.6,882.9,4089261,4446526189,117334
03-Apr-25,EQ,1049.9,1075.25,1048.1,1062.7,1068.65,1071,1068.54,1262.6,882.9,1595000,1704322075,56627
02-Apr-25,EQ,1018,1073.15,1015,992.25,1060.8,1062.7,1058.24,1262.6,882.9,8717812,9225501942,219419
01-Apr-25,EQ,1003,1014.55,989.25,1001.9,992.4,992.25,999.17,1262.6,882.9,1045548,1044680910,37298
28-Mar-25,EQ,975.5,1015,975,973.55,1001.9,1001.9,1004.62,1262.6,882.9,2313101,2323784218,93268
27-Mar-25,EQ,963,980.4,952.5,959.65,977.45,973.55,971.33,1262.6,882.9,2585170,2511047794,69685
26-Mar-25,EQ,975,976.3,956.95,970.7,956.95,959.65,962.95,1262.6,882.9,1399118,1347284040,59811
25-Mar-25,EQ,979,979.9,959,970.45,970,970.7,970.33,1262.6,882.9,1569597,1523022891,52311
24-Mar-25,EQ,965.25,976.15,956.5,961.2,974.65,970.45,968.59,1262.6,882.9,1475967,1429608985,49671
21-Mar-25,EQ,968,972.15,956.6,965.85,964,961.2,964.29,1262.6,882.9,3155551,3042874241,67717
20-Mar-25,EQ,953.1,967.7,950.25,949.85,966,965.85,959,1262.6,882.9,2403031,2304498653,55437
19-Mar-25,EQ,947.5,959.85,945.25,946.85,952,949.85,951.16,1262.6,882.9,1650477,1569875109,40877
18-Mar-25,EQ,941.05,950.6,938.15,940.45,948.05,946.85,945.46,1262.6,882.9,2343994,2216149922,59784
17-Mar-25,EQ,946.1,956.5,934.6,946.1,941.4,940.45,942.97,1262.6,882.9,993027,936395504,45745
13-Mar-25,EQ,950,955,940.15,945.45,945,946.1,948.5,1269,882.9,907521,860783342,36330
